Index,Variant,country,Region,Subregion,Notes,Countrycode,Type,Parent code,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
157,Medium variant,Guadeloupe,LAC,Caribbean,2,312,Country/Area,915,43.7,44.6,43.8,42.4,42.5,43.5,44.6,45.4,45,44.9,45,45.9,47.1,48.4,49.5,50.1,50.2
158,Medium variant,Haiti,LAC,Caribbean,,332,Country/Area,915,24,25.4,26.8,28.3,29.7,31.2,32.7,34.1,35.4,36.6,37.7,38.8,39.8,40.7,41.6,42.5,43.2
159,Medium variant,Jamaica,LAC,Caribbean,,388,Country/Area,915,30.7,32.7,34.7,36.8,38.7,40.3,41.5,42.8,44.2,45.6,46.9,48.1,49.1,49.9,50.7,51.5,52.5
160,Medium variant,Martinique,LAC,Caribbean,2,474,Country/Area,915,47,48.5,48.7,48.2,47.5,47.7,48.7,49.5,50.1,49.4,49.3,49.6,50.5,51.6,52.6,53.2,53.3
161,Medium variant,Puerto Rico,LAC,Caribbean,14,630,Country/Area,915,44.5,45.5,46.5,47.7,48.7,49.7,50.8,52.7,54.8,57.1,59.2,60.6,59.3,58.9,59,59.2,58.8
162,Medium variant,Saint Lucia,LAC,Caribbean,,662,Country/Area,915,34.5,36.6,39,41.6,44.2,46.5,48.4,49.9,50.8,51.5,52.3,52.9,53.1,53,52.5,52.1,51.8
163,Medium variant,Saint Vincent and the Grenadines,LAC,Caribbean,,670,Country/Area,915,32.9,34.2,35.6,37.4,39.1,40.7,42,43.2,44.4,45.4,46.3,47.2,47.9,48.6,49.1,49.5,49.9
164,Medium variant,Trinidad and Tobago,LAC,Caribbean,,780,Country/Area,915,36.2,38.4,40.6,42,43,43.5,44.2,45.3,46.3,47.1,47.6,47.6,47.7,47.9,48.4,48.8,49.1
165,Medium variant,United States Virgin Islands,LAC,Caribbean,14,850,Country/Area,915,42.6,43.4,43.6,43.6,44.3,45.1,45.9,47.2,48.8,50.5,52,53.6,55.3,57.1,59,61.1,63.4
167,Medium variant,Belize,LAC,Central America,,84,Country/Area,916,25.5,27.4,29.2,31.1,32.9,34.6,36.2,37.8,39.3,40.8,42.1,43.4,44.4,45.3,45.9,46.5,47
168,Medium variant,Costa Rica,LAC,Central America,,188,Country/Area,916,33.5,35.8,38.1,40.4,42.4,44.3,45.8,47.1,48.4,49.6,50.6,51.3,51.7,51.9,52,52.1,52.2
169,Medium variant,El Salvador,LAC,Central America,,222,Country/Area,916,27.6,29.5,31.7,33.8,35.7,37.5,39.3,41.1,43,44.9,46.7,48.4,49.9,51.1,52.1,53.1,54
170,Medium variant,Guatemala,LAC,Central America,,320,Country/Area,916,22.9,24.5,26.3,28,29.6,31.3,33,34.7,36.5,38.1,39.7,41.2,42.5,43.7,44.8,45.8,46.7
171,Medium variant,Honduras,LAC,Central America,,340,Country/Area,916,24.3,26.4,28.4,30.4,32.4,34.2,36,37.7,39.4,41.1,42.6,44,45.3,46.3,47.2,47.9,48.5
172,Medium variant,Mexico,LAC,Central America,,484,Country/Area,916,29.2,30.9,32.6,34.3,36.1,37.7,39.3,40.9,42.3,43.6,44.8,45.9,46.8,47.6,48.2,48.7,49.2
173,Medium variant,Nicaragua,LAC,Central America,,558,Country/Area,916,26.5,28.3,30,31.7,33.5,35.2,37.1,38.8,40.6,42.1,43.5,44.7,45.8,46.8,47.8,48.7,49.5
